Region,Subregion,UNODC Name,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Americas,Northern America,Canada,OAS/CTS/SDG, 1.8 , 1.8 , 1.9 , 1.7 , 2.0 , 2.1 , 1.9 , 1.8 , 1.8 , 1.8 , 1.6 , 1.8 , 1.6 , 1.4 , 1.5 , 1.7 , 1.7
Americas,Northern America,Greenland,NSO, 23.1 , 30.2 , 21.2 , 8.8 , 19.3 , 17.6 , 14.0 , 14.1 , 14.1 , 17.6 , 19.4 , 1.8 , 14.2 , 12.4 , 7.1 , 7.1 , 5.3
Americas,Northern America,Saint Pierre and Miquelon,NP,,,,,,, -   , -   , 16.0 , 15.9 ,,,,,,,
Americas,Northern America,United States of America,NP/UNSDC/CTS, 5.5 , 6.7 , 5.6 , 5.7 , 5.5 , 5.7 , 5.8 , 5.7 , 5.4 , 5.0 , 4.8 , 4.7 , 4.7 , 4.5 , 4.5 , 5.0 , 5.4
Americas,South America,Argentina,CTS,,,,,,,,,,,,,,, 7.5 , 6.5 , 5.9
Americas,South America,Bolivia (Plurinational State of),CTS,,,,,, 5.2 , 5.2 , 8.2 , 8.6 , 8.4 , 12.8 , 12.3 , 11.9 , 9.0 , 8.9 , 6.3 , 6.3
Americas,South America,Brazil,MD Adjusted/NGO, 23.7 , 24.7 , 25.3 , 25.7 , 24.0 , 23.3 , 23.9 , 23.4 , 23.8 , 22.8 , 22.0 , 24.2 , 26.5 , 26.8 , 28.0 , 28.4 , 29.5
Americas,South America,Chile,CTS/OAS,,,, 3.2 ,, 3.6 , 3.6 , 3.7 , 3.5 , 3.7 , 3.2 , 3.7 , 2.5 , 3.2 , 3.6 , 3.0 , 3.5
Americas,South America,Colombia,UNSDC/OAS/CTS, 65.7 , 67.9 , 68.3 , 55.8 , 47.3 , 41.8 , 39.9 , 38.8 , 35.9 , 34.8 , 33.7 , 34.8 , 35.1 , 32.6 , 27.9 , 26.5 , 25.5
Americas,South America,Ecuador,OAS/CTS, 14.5 , 12.9 , 14.6 , 14.6 , 17.7 , 15.4 , 17.1 , 16.0 , 18.0 , 17.9 , 17.6 , 15.4 , 12.5 , 11.0 , 8.2 , 6.5 , 5.9
