Kosovo under UNSCR 1244,,nan,nan,nan,nan,nan,6.5,4.1,6,3.5,5,2.2,2.3
Malta,MLT, -   ,1.7,1, -   ,1,1.5,1,1,0.7,2.9,1.7,1.4
Montenegro,MNE,3.3,2.3,3.6,4,1.9,3.9,3.4,2.4,3.4,2.7,1.6,3.2
Portugal,PRT,1.4,1.4,1.3,1.5,1.7,1.2,1.2,1.2,1.1,1.2,1.4,0.9
San Marino,SMR, -   , -   , -   , -   , -   , -   , -   , -   , -   ,nan,nan,nan
Serbia,,1.9,1.8,1.6,1.7,1.9,1.5,1.7,1.4,1.5,1.2,1.6,1.4
Slovenia,SVN,1.1,1.4,1,0.6,1.2,0.5,0.6,0.7,0.8,0.7,0.6,0.8
Spain,ESP,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.6,0.7
The former Yugoslav Republic of Macedonia,,3.4,2.4,2.1,2.2,2,1.7,1.7,2.1,1.4,1.4,1.1,1.6
Austria,AUT,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5
Belgium#,,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,1.9,1.8,1.8,1.9
France,FRA,1.6,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.4,1.2,1.2,1.2
Germany,DEU,1.1,1.1,1.1,1,0.9,0.9,1,1,0.9,0.8,0.8,0.9
Liechtenstein,LIE, -   ,2.9, -   , -   , -   ,2.8, -   ,2.8, -   , -   , -   ,2.7
Luxembourg,LUX,0.7,0.4,0.9,1.5,1.5,1.6,1,2,0.8, -   ,0.2,0.7
Monaco,MCO,nan,3,3,2.9, -   , -   , -   , -   , -   , -   , -   ,nan
Netherlands,NLD,1.2,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7
Switzerland,CHE,1,1.1,1,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.5
Australia,AUS,1.7,1.5,1.3,1.4,1.2,1.2,1.2,1,1.1,1.1,1.1,1
New Zealand#,,1.1,1.1,1.5,1.2,1.1,1.2,1.5,1,0.9,0.9,1,1
Fiji,FJI,3.1,2.8,2.8,2.7,2.5,2,3.4,2.3,2.3,2.3,2.2,2.3
New Caledonia,NCL,nan,nan,nan,3.4,5,4.5,3.2,nan,nan,nan,nan,nan
Papua New Guinea,PNG,nan,nan,nan,9.4,7.8,nan,nan,nan,nan,nan,nan,nan
Solomon Islands,SLB,nan,4.4,5.5,4.8,5.3,3.8,nan,nan,nan,nan,nan,nan
Vanuatu,VUT,nan,nan,2.5,nan,nan,nan,nan,2.3,nan,nan,nan,nan
Guam,GUM,5.1,5.7,4.4,6.9,0.6,0.6,3.1,1.9,2.5,nan,nan,nan
Kiribati,KIR,nan,nan,nan,nan,nan,7.1,1,3.9,10.5,7.5,nan,nan
Micronesia (Federated States of),,nan,nan,4.6,nan,nan,nan,nan,4.5,nan,nan,nan,nan
Nauru,NRU,nan,nan,nan,nan,nan,nan,nan,nan,nan, -   ,nan,nan
Palau,PLW,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.1,nan,nan
American Samoa,ASM,5.1,6.7,10.1,6.8,1.7,5.3,3.6,9,9,3.6,5.4,5.4
Cook Islands,COK,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.5,nan,nan
French Polynesia,PYF,nan,nan,nan,1.2,2.7,3.4,0.4,nan,nan,nan,nan,nan
Niue,NIU,nan,nan,nan,nan,nan,nan,nan,nan,nan, -   ,nan,nan
Samoa,WSM,nan,nan,nan,nan,nan,nan,8.7,8.6,nan,nan,3.1,nan
Tonga,TON,6,2,4,7.9,1,3.9,7.7,1,1.9,1,nan,nan
Tuvalu,TUV, -   , -   , -   , -   , -   , -   , -   ,9.5,9.4,18.6,nan,nan
